+-----+--------------------------------------------+------------------------------------------------------------+------------+---------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                                                 | BiomeType  | BiomeDictionary.Type                              | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 102 | thebetweenlands:sludge_plains              | Sludge Plains                                              |            | DEAD, SWAMP, WASTELAND, WET                       | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 103 | thebetweenlands:marsh_0                    | Marsh 0                                                    |            | SWAMP, WATER, WET                                 | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 104 | thebetweenlands:marsh_1                    | Marsh 1                                                    |            | SWAMP, WATER, WET                                 | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 105 | thebetweenlands:swamplands_clearing        | Swamplands Clearing                                        |            | DENSE, FOREST, SWAMP, WATER, WET                  | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 106 | jeid:error_biome                           | A mod doesn't support extended biome IDs -- report to JEID |            | PLAINS                                            | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 107 | thebetweenlands:sludge_plains_clearing     | Sludge Plains Clearing                                     |            | DEAD, SWAMP, WASTELAND, WET                       | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 127 | minecraft:void                             | The Void                                                   |            | VOID                                              | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 129 | minecraft:mutated_plains                   | Sunflower Plains                                           |            | PLAINS, RARE                                      | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:raven [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                        |
| 130 | minecraft:mutated_desert                   | Desert M                                                   |            | DRY, HOT, RARE, SANDY                             | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M                                            |            | MOUNTAIN, RARE, SPARSE                            | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:skybison [weight: 5, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 132 | minecraft:mutated_forest                   | Flower Forest                                              |            | FOREST, HILLS, RARE                               | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                     |
| 133 | minecraft:mutated_taiga                    | Taiga M                                                    |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE          | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                         |
| 134 | minecraft:mutated_swampland                | Swampland M                                                |            | HILLS, RARE, SWAMP, WET                           | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:newt [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { bewitchment:toad [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                               |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes                                          |            | COLD, HILLS, RARE, SNOWY                          | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:ice_wraith [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 20, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 80, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:otterpenguin [weight: 10, min: 3, max: 6] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                          |
| 149 | minecraft:mutated_jungle                   | Jungle M                                                   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET           | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:ocelot [weight: 2, min: 1, max: 1] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                        |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                                               |            | HILLS, HOT, JUNGLE, RARE, SPARSE                  | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:parrot [weight: 40, min: 1, max: 2] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                  |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                                             |            | DENSE, FOREST, HILLS, RARE                        | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                       |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M                                       |            | DENSE, FOREST, MOUNTAIN, RARE                     | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                           |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M                                            |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY             | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                           |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                                               |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY   | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                         |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga                                          |            | DENSE, FOREST, RARE                               | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                         |
